Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Daily_Return,Log_Return,Price_Range,Range_Pct,Volatility_30D,Volume_MA_30,Drawdown,SMA_30,EMA_30,SMA_EMA_Spread,Close_vs_SMA,Close_vs_EMA,Signal
2014-09-17,465.864014,468.174011,452.421997,457.334015,457.334015,21056800,2014,2014-09,0.0,0.0,15.752014000000031,0.03444312796195584,,21056800.0,0.0,,,,,,Neutre
2014-09-18,456.859985,456.859985,413.104004,424.440002,424.440002,34483200,2014,2014-09,-0.07192557719547721,-0.07464335242391065,43.75598100000002,0.1030910865936713,,27770000.0,-0.07192557719547721,,,,,,Neutre
2014-09-19,424.102997,427.834991,384.532013,394.79599,394.79599,37919700,2014,2014-09,-0.0698426440964911,-0.07240150725127731,43.302977999999996,0.1096844423369143,,31153233.333333332,-0.1367447488024699,,,,,,Neutre
2014-09-20,394.673004,423.29599,389.882996,408.903992,408.903992,36863600,2014,2014-09,0.035734917165698654,0.03511123963492297,33.412994000000026,0.08171354316345247,,32580825.0,-0.10589639390807182,,,,,,Neutre
2014-09-21,408.084991,412.425995,393.181,398.821014,398.821014,26580100,2014,2014-09,-0.02465854625356656,-0.02496766032243697,19.244995000000017,0.04825471658822877,,31380680.0,-0.12794368903437026,,,,,,Neutre
2014-09-22,399.100006,406.915985,397.130005,402.152008,402.152008,24127600,2014,2014-09,0.008352102529883387,0.008317416720678466,9.785979999999995,0.024334032418905624,,30171833.333333332,-0.12066018531335354,,,,,,Neutre
2014-09-23,402.09201,441.557007,396.196991,435.790985,435.790985,45099500,2014,2014-09,0.08364741771971951,0.08033258970265271,45.36001599999997,0.10408663226477706,,32304357.14285714,-0.04710568051667896,,,,,,Neutre
2014-09-24,435.751007,436.112,421.131989,423.204987,423.204987,30627700,2014,2014-09,-0.0288808131265037,-0.029306071700896906,14.980011000000047,0.03539658430348328,,32094775.0,-0.07462604328698363,,,,,,Neutre
2014-09-25,423.156006,423.519989,409.467987,411.574005,411.574005,26814400,2014,2014-09,-0.027483092962701794,-0.027867818512328082,14.052002000000016,0.034142102827898514,,31508066.666666668,-0.10005818176459058,,,,,,Neutre
2014-09-26,411.428986,414.937988,400.009003,404.424988,404.424988,21460800,2014,2014-09,-0.017369942982672137,-0.01752257044479444,14.928985000000011,0.036914101361115725,0.8922504745998149,30503340.0,-0.11569011983506194,,,,,,Neutre
2014-09-27,403.556,406.622986,397.372009,399.519989,399.519989,15029300,2014,2014-09,-0.012128328232774765,-0.012202476545578019,9.250977000000034,0.02315522941206337,0.8464784988677921,29096609.09090909,-0.12641532032118807,,,,,,Neutre
2014-09-28,399.471008,401.016998,374.332001,377.181,377.181,23613300,2014,2014-09,-0.055914571523479006,-0.0575386206636755,26.68499700000001,0.07074851861573093,0.8437224156803675,28639666.666666668,-0.1752614333749044,,,,,,Neutre
2014-09-29,376.928009,385.210999,372.23999,375.46701,375.46701,32497700,2014,2014-09,-0.004544210869582455,-0.004554567181883808,12.971009000000038,0.034546334709939064,0.8097145694248759,28936438.46153846,-0.179009219333926,,,,,,Neutre
2014-09-30,376.088013,390.97699,373.442993,386.944,386.944,34707300,2014,2014-09,0.03056723944934614,0.030109368564074455,17.533997,0.04531404285891498,0.8108810962926037,29348642.85714286,-0.15391379755560064,,,,,,Neutre
2014-10-01,387.427002,391.378998,380.779999,383.61499,383.61499,26229400,2014,2014-10,-0.008603337950711332,-0.008640560307435402,10.598999000000049,0.027629261828376543,0.7814764020675168,29140693.333333332,-0.16119296309066367,,,,,,Neutre
2014-10-02,383.988007,385.497009,372.946014,375.071991,375.071991,21777700,2014,2014-10,-0.022269721524698416,-0.022521435864126197,12.550995,0.0334628959270915,0.756938745688735,28680506.25,-0.179872962215592,,,,,,Neutre
2014-10-03,375.181,377.695007,357.859009,359.511993,359.511993,30901200,2014,2014-10,-0.04148536380579804,-0.042370446718183796,19.83599799999996,0.055174788007697866,0.7458854921098101,28811135.29411765,-0.2138962307450496,,,,,,Neutre
